group;year;week;value
75to84;2018;46;15354
75to84;2018;47;15281
75to84;2018;48;15259
75to84;2018;49;15334
75to84;2018;50;15423
75to84;2018;51;15567
75to84;2018;52;15743
75to84;2019;0;0
75to84;2019;1;624
75to84;2019;2;1775
75to84;2019;3;2922
75to84;2019;4;4035
75to84;2019;5;5006
75to84;2019;6;6083
75to84;2019;7;6932
75to84;2019;8;7408
75to84;2019;9;7985
75to84;2019;10;8197
75to84;2019;11;8338
75to84;2019;12;8144
75to84;2019;13;8158
75to84;2019;14;8199
75to84;2019;15;8027
75to84;2019;16;8057
75to84;2019;17;7887
75to84;2019;18;7732
75to84;2019;19;7793
75to84;2019;20;7669
75to84;2019;21;7668
75to84;2019;22;7546
75to84;2019;23;7515
75to84;2019;24;7329
75to84;2019;25;7219
75to84;2019;26;7345
75to84;2019;27;7598
75to84;2019;28;7593
75to84;2019;29;7518
75to84;2019;30;7943
75to84;2019;31;7866
75to84;2019;32;7756
75to84;2019;33;7528
75to84;2019;34;7494
75to84;2019;35;7464
75to84;2019;36;7302
75to84;2019;37;7033
75to84;2019;38;6792
75to84;2019;39;6549
75to84;2019;40;6314
75to84;2019;41;6151
75to84;2019;42;6007
75to84;2019;43;5918
75to84;2019;44;5729
75to84;2019;45;5610
75to84;2019;46;5785
75to84;2019;47;5885
75to84;2019;48;6000
75to84;2019;49;5858
75to84;2019;50;5986
75to84;2019;51;6088
75to84;2019;52;5918
65P;2021;0;0
65P;2021;1;7007
65P;2021;2;15665
65P;2021;3;26444
65P;2021;4;35953
65P;2021;5;43023
65P;2021;6;47730
65P;2021;7;51040
65P;2021;8;52970
65P;2021;9;53823
65P;2021;10;54726
65P;2021;11;55663
65P;2021;12;56605
65P;2021;13;58435
65P;2021;14;60074
65P;2021;15;61763
65P;2021;16;63663
65P;2021;17;65169
65P;2021;18;67270
65P;2021;19;67576
65P;2021;20;67754
65P;2021;21;67831
65P;2021;22;67639
65P;2021;23;67839
65P;2021;24;68527
65P;2021;25;68483
65P;2021;26;69294
65P;2021;27;69842
65P;2021;28;70533
65P;2021;29;72990
65P;2021;30;74960
65P;2021;31;78314
65P;2021;32;82079
65P;2021;33;85186
65P;2021;34;87546
65P;2021;35;89714
65P;2021;36;92019
65P;2021;37;93065
65P;2021;38;93603
65P;2021;39;94324
65P;2021;40;94872
65P;2021;41;96245
65P;2021;42;97652
65P;2021;43;99740
65P;2021;44;101060
65P;2021;45;103716
65P;2021;46;106498
65P;2021;47;110130
65P;2021;48;114937
65P;2021;49;119605
65P;2021;50;123997
65P;2021;51;128928
65P;2021;52;133780
65P;2022;0;0
65P;2022;1;4459
65P;2022;2;9450
65P;2022;3;15209
65P;2022;4;22273
65P;2022;5;29385
65P;2022;6;34653
65P;2022;7;38425
65P;2022;8;40355
65P;2022;9;41885
65P;2022;10;43586
65P;2022;11;45450
65P;2022;12;47828
65P;2022;13;50673
65P;2022;14;53967
65P;2022;15;57025
65P;2022;16;59229
65P;2022;17;60983
65P;2022;18;62414
65P;2022;19;63938
65P;2022;20;65604
65P;2022;21;65832
65P;2022;22;67179
65P;2022;23;68126
65P;2022;24;71148
65P;2022;25;73145
65P;2022;26;74931
65P;2022;27;78347
65P;2022;28;84481
65P;2022;29;91563
65P;2022;30;96776
65P;2022;31;101273
65P;2022;32;105341
65P;2022;33;107734
65P;2022;34;109397
65P;2022;35;110068
65P;2022;36;110384
65P;2022;37;110772
65P;2022;38;111039
65P;2022;39;112332
65P;2022;40;114343
65P;2022;41;115850
65P;2022;42;117764
65P;2022;43;118708
65P;2022;44;118688
65P;2022;45;119198
65P;2022;46;120655
65P;2022;47;122331
65P;2022;48;124999
65P;2022;49;129218
65P;2022;50;134950
65P;2022;51;142141
65P;2022;52;148636
65P;2018;0;0
65P;2018;1;5950
65P;2018;2;11208
65P;2018;3;16037
65P;2018;4;19436
65P;2018;5;22624
65P;2018;6;26116
65P;2018;7;30126
65P;2018;8;34446
65P;2018;9;40224
65P;2018;10;45495
65P;2018;11;49084
65P;2018;12;51609
65P;2018;13;54010
65P;2018;14;55777
65P;2018;15;57023
65P;2018;16;57849
65P;2018;17;57475
65P;2018;18;56813
65P;2018;19;56287
65P;2018;20;55712
65P;2018;21;55808
65P;2018;22;55813
65P;2018;23;55543
65P;2018;24;54969
65P;2018;25;55202
65P;2018;26;56191
65P;2018;27;57155
65P;2018;28;57317
65P;2018;29;58177
65P;2018;30;59435
65P;2018;31;61538
65P;2018;32;63776
65P;2018;33;63973
65P;2018;34;64308
65P;2018;35;63922
65P;2018;36;63706
65P;2018;37;63292
65P;2018;38;63114
65P;2018;39;62564
65P;2018;40;62770
65P;2018;41;63146
65P;2018;42;62650
65P;2018;43;62433
65P;2018;44;62705
65P;2018;45;63176
65P;2018;46;63169
65P;2018;47;63190
65P;2018;48;63089
65P;2018;49;63075
65P;2018;50;63259
65P;2018;51;63982
65P;2018;52;64855
65P;2019;0;0
65P;2019;1;2452
65P;2019;2;7050
65P;2019;3;11779
65P;2019;4;16470
65P;2019;5;21234
65P;2019;6;25970
65P;2019;7;29628
65P;2019;8;33157
65P;2019;9;36148
65P;2019;10;37977
65P;2019;11;39007
65P;2019;12;39184
65P;2019;13;39261
65P;2019;14;39817
65P;2019;15;39500
65P;2019;16;39790
65P;2019;17;40146
65P;2019;18;40419
65P;2019;19;40707
65P;2019;20;40944
65P;2019;21;41224
65P;2019;22;41546
65P;2019;23;41673
65P;2019;24;41744
65P;2019;25;42151
65P;2019;26;43418
65P;2019;27;44791
65P;2019;28;45177
65P;2019;29;45220
65P;2019;30;47280
65P;2019;31;47445
65P;2019;32;47812
65P;2019;33;47611
65P;2019;34;47754
65P;2019;35;48262
65P;2019;36;47734
65P;2019;37;47370
65P;2019;38;47264
65P;2019;39;46866
65P;2019;40;46676
65P;2019;41;46484
65P;2019;42;46369
65P;2019;43;46459
65P;2019;44;46575
65P;2019;45;46757
65P;2019;46;47246
65P;2019;47;48087
65P;2019;48;49013
65P;2019;49;49231
65P;2019;50;50195
65P;2019;51;51099
65P;2019;52;51416
