group;year;week;value
0to14;2021;38;-90
0to14;2021;39;-81
0to14;2021;40;-72
0to14;2021;41;-78
0to14;2021;42;-71
0to14;2021;43;-66
0to14;2021;44;-57
0to14;2021;45;-51
0to14;2021;46;-40
0to14;2021;47;-17
0to14;2021;48;22
0to14;2021;49;10
0to14;2021;50;42
0to14;2021;51;56
0to14;2021;52;87
0to14;2022;0;0
0to14;2022;1;25
0to14;2022;2;26
0to14;2022;3;29
0to14;2022;4;27
0to14;2022;5;52
0to14;2022;6;43
0to14;2022;7;42
0to14;2022;8;39
0to14;2022;9;22
0to14;2022;10;46
0to14;2022;11;53
0to14;2022;12;58
0to14;2022;13;67
0to14;2022;14;69
0to14;2022;15;83
0to14;2022;16;87
0to14;2022;17;91
0to14;2022;18;90
0to14;2022;19;123
0to14;2022;20;143
0to14;2022;21;143
0to14;2022;22;151
0to14;2022;23;144
0to14;2022;24;180
0to14;2022;25;192
0to14;2022;26;196
0to14;2022;27;234
0to14;2022;28;242
0to14;2022;29;242
0to14;2022;30;248
0to14;2022;31;259
0to14;2022;32;254
0to14;2022;33;241
0to14;2022;34;237
0to14;2022;35;216
0to14;2022;36;233
0to14;2022;37;264
0to14;2022;38;266
0to14;2022;39;284
0to14;2022;40;293
0to14;2022;41;303
0to14;2022;42;310
0to14;2022;43;333
0to14;2022;44;342
0to14;2022;45;362
0to14;2022;46;373
0to14;2022;47;374
0to14;2022;48;394
0to14;2022;49;457
0to14;2022;50;492
0to14;2022;51;525
0to14;2022;52;583
0to14;2018;0;0
0to14;2018;1;-6
0to14;2018;2;30
0to14;2018;3;15
0to14;2018;4;-1
0to14;2018;5;1
0to14;2018;6;12
0to14;2018;7;11
0to14;2018;8;24
0to14;2018;9;33
0to14;2018;10;34
0to14;2018;11;53
0to14;2018;12;56
0to14;2018;13;80
0to14;2018;14;77
0to14;2018;15;75
0to14;2018;16;82
0to14;2018;17;82
0to14;2018;18;73
0to14;2018;19;70
0to14;2018;20;94
0to14;2018;21;91
0to14;2018;22;60
0to14;2018;23;65
0to14;2018;24;57
0to14;2018;25;46
0to14;2018;26;41
0to14;2018;27;78
0to14;2018;28;80
0to14;2018;29;83
0to14;2018;30;98
0to14;2018;31;88
0to14;2018;32;93
0to14;2018;33;85
0to14;2018;34;101
0to14;2018;35;64
0to14;2018;36;49
0to14;2018;37;69
0to14;2018;38;86
0to14;2018;39;77
0to14;2018;40;71
0to14;2018;41;78
0to14;2018;42;99
0to14;2018;43;85
0to14;2018;44;76
0to14;2018;45;103
0to14;2018;46;113
0to14;2018;47;111
0to14;2018;48;137
0to14;2018;49;142
0to14;2018;50;153
0to14;2018;51;169
0to14;2018;52;145
0to14;2019;0;0
0to14;2019;1;31
0to14;2019;2;32
0to14;2019;3;46
0to14;2019;4;59
0to14;2019;5;75
0to14;2019;6;84
0to14;2019;7;99
0to14;2019;8;127
0to14;2019;9;121
0to14;2019;10;134
0to14;2019;11;134
0to14;2019;12;130
0to14;2019;13;132
0to14;2019;14;144
0to14;2019;15;152
0to14;2019;16;154
0to14;2019;17;142
0to14;2019;18;159
0to14;2019;19;145
0to14;2019;20;145
0to14;2019;21;159
0to14;2019;22;147
0to14;2019;23;142
0to14;2019;24;148
0to14;2019;25;145
0to14;2019;26;165
0to14;2019;27;175
0to14;2019;28;202
0to14;2019;29;187
0to14;2019;30;211
0to14;2019;31;247
0to14;2019;32;234
0to14;2019;33;225
0to14;2019;34;264
0to14;2019;35;266
0to14;2019;36;264
0to14;2019;37;255
0to14;2019;38;281
0to14;2019;39;268
0to14;2019;40;273
0to14;2019;41;269
0to14;2019;42;270
0to14;2019;43;282
0to14;2019;44;244
0to14;2019;45;232
0to14;2019;46;230
0to14;2019;47;221
0to14;2019;48;229
0to14;2019;49;245
0to14;2019;50;278
0to14;2019;51;295
0to14;2019;52;328
15to44;2021;0;0
15to44;2021;1;-14
15to44;2021;2;18
15to44;2021;3;51
15to44;2021;4;74
15to44;2021;5;75
15to44;2021;6;60
15to44;2021;7;74
15to44;2021;8;38
15to44;2021;9;35
15to44;2021;10;19
15to44;2021;11;39
15to44;2021;12;16
15to44;2021;13;53
15to44;2021;14;31
15to44;2021;15;40
15to44;2021;16;79
15to44;2021;17;86
15to44;2021;18;111
15to44;2021;19;81
15to44;2021;20;52
15to44;2021;21;59
15to44;2021;22;43
15to44;2021;23;28
15to44;2021;24;66
15to44;2021;25;80
15to44;2021;26;101
15to44;2021;27;133
15to44;2021;28;186
15to44;2021;29;235
15to44;2021;30;256
15to44;2021;31;318
15to44;2021;32;378
15to44;2021;33;402
